s58,455,"[]",.
s242,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Turn Left', 'Jump', 'Jump', 'Turn Left']",ERROR
s242,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s242,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s242,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s242,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s242,314,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s242,319,"['Forward', 'Forward']",ERROR
s242,319,"['Forward', 'Forward']",ERROR
s242,319,"['Forward', 'Forward']",ERROR
s242,319,"['Forward', 'Turn Right']",ERROR
s242,319,"['Forward', 'Forward', 'Turn Right']",ERROR
s242,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s242,315,"[]",.
s242,315,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right']",COMPLETED
s242,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Left']",COMPLETED
s242,312,"[]",.
s242,240,"['Backward', 'Turn Right', 'Pick Up', 'Turn Left', 'Forward', 'Put Down']",.
s242,240,"['Backward', 'Turn Right', 'Pick Up', 'Turn Left', 'Forward', 'Turn Right', 'Forward', 'Turn Right', 'Put Down']",COMPLETED
s242,240,"['Backward', 'Turn Right', 'Pick Up', 'Forward', 'Turn Left', 'Put Down']",COMPLETED
s243,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down']",.
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up']",ERROR
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up']",ERROR
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up']",ERROR
s243,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up']",ERROR
s243,316,"['Forward']",.
